"","x"
"169",74.5340901921
"170",64.61547095465
"171",63.37736314415
"172",58.053499559
"173",64.17525484425
"174",90.1342486044
"175",82.74687200175
"176",52.0555550548
"177",54.51801392235
"178",65.1244708323
"179",63.92763328215
"180",58.81012099875
"181",57.81963475035
"182",53.61006819465
"183",49.9095015166
"184",34.5294511595
"185",34.7770727216
"186",35.80882923035
"187",33.9516675146
"188",26.137831555
"189",24.88596699105
"190",19.71342769385
"191",19.4245358714
"192",18.2414550747
"193",17.37477960735
"194",13.63294266895
"195",13.90807773795
"196",15.09115853465
"197",15.1049152881
"198",15.14618554845
"199",13.8117804638
"200",8.2265385631
"201",8.3916196045
"202",9.1069707839
"203",9.01067350975
"204",8.5842141528
"205",8.21278180965
"206",6.67202542325
"207",7.2360523147
"208",9.5747004012
"209",9.1895113046
"210",7.57997115095
"211",10.66148392375
"212",23.6891294409
"213",23.12510254945
"214",20.7726977095
"215",20.084860037
"216",17.1684283056
"217",15.83402322095
"218",10.16624079955
"219",10.00115975815
"220",9.34083559255
"221",10.11121378575
"222",13.3440508465
"223",13.82553721725
"224",15.83402322095
"225",16.3430230986
"226",18.5165901437
"227",20.7176706957
"228",29.8521549865
"229",31.9431815109
"230",40.8300442396
"231",43.0586382985
"232",52.45450090485
"233",53.91271677055
"234",59.93817478165
"235",58.64503995735
"236",53.08731156355
"237",52.92223052215
"238",52.17936583585
"239",50.22590684595
"240",42.05439529665
"241",41.9030710087
"242",41.2977738569
"243",41.6279359397
"244",43.01736803815
"245",42.74223296915
"246",41.61417918625
"247",39.44061214115
"248",30.14104680895
"249",29.1092903002
"250",24.8171832238
"251",24.6245886755
"252",23.7991834685
"253",26.2203720757
"254",36.6479911908
"255",37.87234224785
"256",43.04488154505
"257",39.7019904567
"258",25.8076694722
"259",27.47223663965
"260",34.4744241457
"261",33.33261360935
"262",28.60029042255
"263",32.1357760592
"264",46.7454482231
"265",50.5423121753
"266",66.59644345145
"267",65.63347070995
"268",61.61649870255
"269",58.01222929865
"270",43.29250310715
"271",40.89882800685
"272",30.7325872073
"273",30.4299386314
"274",29.15056056055
"275",29.7696144658
"276",32.28710034715
"277",31.2828573453
"278",27.0457772827
"279",28.1188040518
"280",32.61726242995
"281",33.14001906105
"282",35.31358610615
"283",35.86385624415
"284",38.17499082375
"285",34.5844781733
"286",19.6446439266
"287",20.0573465301
"288",21.6806434372
"289",19.54834665245
"290",10.35883534785
"291",10.22126781335
"292",9.6572409219
"293",10.27629482715
"294",12.8212942154
"295",13.1514562982
"296",14.5546451501
"297",13.35780759995
"298",8.3365925907
"299",7.46991712335
"300",3.9069179798
"301",4.99370150235
"302",9.56094364775
"303",10.0149165116
"304",11.9133484877
"305",12.2710240774
"306",13.75675345
"307",17.3059958401
"308",32.09450579885
"309",31.79185722295
"310",30.49872239865
"311",32.94742451275
"312",43.12742206575
"313",48.87774500785
"314",73.50233368335
"315",67.47687567225
"316",42.4258276398
"317",43.23747609335
"318",46.5803671817
"319",46.20893483855
"320",44.61315143835
